,target_shift1,close,close_1shift,close_2shift,close_3shift,close_4shift,close_5shift,close_mv10,close_mv20,close_mv5,consec_fore,consec_inst,dayofmonth_freq_cos,dayofmonth_freq_sin,dow,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,msci_emerging,nasdaq,obv,obv_ema,semicon_index,snp500,sse_composite_index,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,usdtoaud,usdtocny,usdtojpy,usdtokrw,volume,volume_mv10,volume_mv20,volume_mv5
target_shift1,1.0,0.969,0.939,0.911,0.884,0.859,0.836,0.89,0.804,0.934,0.04,0.104,0.04,-0.014,0.168,0.297,0.253,0.051,0.103,0.123,0.087,0.074,0.158,0.204,0.12,0.264,0.251,0.242,0.258,-0.004,0.013,0.142,0.489,0.358,0.151,0.156,0.028,0.316,0.44,0.462,0.401,0.067,-0.048,0.083,0.004,0.207,0.3,0.32,0.269
close,0.969,1.0,0.969,0.939,0.91,0.884,0.858,0.918,0.829,0.963,0.041,0.102,0.045,-0.001,0.167,0.306,0.259,0.05,0.109,0.129,0.091,0.07,0.158,0.209,0.12,0.276,0.259,0.249,0.268,-0.002,0.009,0.145,0.511,0.374,0.15,0.159,0.037,0.326,0.45,0.471,0.415,0.069,-0.052,0.082,0.006,0.214,0.306,0.325,0.279
close_1shift,0.939,0.969,1.0,0.969,0.939,0.91,0.883,0.94,0.853,0.981,-0.004,0.055,0.045,0.013,0.164,0.269,0.157,-0.045,0.087,0.115,0.054,-0.033,0.134,0.196,0.085,0.262,0.266,0.255,0.273,-0.001,-0.007,0.143,0.504,0.386,0.143,0.157,0.031,0.261,0.452,0.477,0.41,0.074,-0.051,0.079,0.008,0.154,0.304,0.328,0.271
close_2shift,0.911,0.939,0.969,1.0,0.969,0.939,0.91,0.956,0.873,0.987,-0.006,0.025,0.04,0.026,0.159,0.212,0.076,-0.021,0.073,0.107,0.028,-0.048,0.108,0.178,0.044,0.249,0.27,0.26,0.275,-0.023,-0.022,0.14,0.495,0.398,0.136,0.156,0.029,0.225,0.447,0.481,0.39,0.083,-0.047,0.075,0.015,0.121,0.297,0.329,0.25
close_3shift,0.884,0.91,0.939,0.969,1.0,0.969,0.938,0.966,0.891,0.981,-0.005,0.004,0.032,0.037,0.156,0.145,0.005,-0.019,0.058,0.099,0.003,-0.056,0.08,0.159,0.001,0.237,0.273,0.265,0.272,-0.037,-0.034,0.139,0.484,0.409,0.133,0.155,0.026,0.199,0.437,0.483,0.36,0.091,-0.045,0.07,0.021,0.098,0.285,0.328,0.221
close_4shift,0.859,0.884,0.91,0.939,0.969,1.0,0.969,0.972,0.906,0.964,-0.005,-0.011,0.019,0.045,0.154,0.077,-0.054,-0.02,0.044,0.092,-0.025,-0.059,0.05,0.139,-0.045,0.228,0.274,0.267,0.264,-0.046,-0.042,0.139,0.476,0.42,0.131,0.155,0.03,0.18,0.423,0.484,0.32,0.098,-0.046,0.065,0.028,0.082,0.27,0.326,0.183
close_5shift,0.836,0.858,0.883,0.91,0.938,0.969,1.0,0.972,0.919,0.934,-0.008,-0.024,0.004,0.05,0.153,0.01,-0.106,-0.021,0.028,0.084,-0.052,-0.066,0.019,0.119,-0.09,0.22,0.273,0.27,0.252,-0.053,-0.05,0.138,0.468,0.428,0.129,0.155,0.028,0.165,0.406,0.48,0.275,0.105,-0.049,0.062,0.034,0.07,0.253,0.321,0.142
close_mv10,0.89,0.918,0.94,0.956,0.966,0.972,0.972,1.0,0.95,0.975,-0.006,-0.003,0.004,0.033,0.152,0.052,-0.05,-0.018,0.034,0.091,-0.005,-0.052,0.034,0.136,-0.031,0.248,0.28,0.279,0.269,-0.045,-0.033,0.137,0.489,0.433,0.129,0.153,0.029,0.208,0.418,0.496,0.331,0.097,-0.046,0.052,0.016,0.108,0.263,0.334,0.193
close_mv20,0.804,0.829,0.853,0.873,0.891,0.906,0.919,0.95,1.0,0.893,-0.026,-0.041,0.005,0.009,0.155,-0.159,-0.197,-0.033,-0.027,0.03,-0.044,-0.077,-0.069,0.025,-0.095,0.223,0.263,0.282,0.245,-0.07,-0.056,0.142,0.472,0.471,0.114,0.161,0.032,0.146,0.323,0.444,0.24,0.127,-0.053,0.039,0.042,0.056,0.176,0.274,0.116
close_mv5,0.934,0.963,0.981,0.987,0.981,0.964,0.934,0.975,0.893,1.0,0.005,0.036,0.035,0.026,0.158,0.208,0.092,-0.009,0.076,0.112,0.031,-0.023,0.109,0.182,0.042,0.259,0.275,0.265,0.278,-0.023,-0.016,0.14,0.501,0.403,0.137,0.154,0.032,0.248,0.453,0.492,0.389,0.08,-0.048,0.067,0.006,0.142,0.302,0.337,0.248
consec_fore,0.04,0.041,-0.004,-0.006,-0.005,-0.005,-0.008,-0.006,-0.026,0.005,1.0,-0.008,0.006,-0.039,0.008,0.104,0.167,0.458,0.347,0.258,0.431,0.021,-0.037,-0.033,-0.056,-0.02,-0.04,-0.031,-0.043,0.001,-0.013,0.035,0.043,0.012,0.039,0.021,0.043,0.041,-0.006,-0.01,-0.0,0.034,-0.01,-0.001,0.043,0.034,-0.01,-0.01,-0.005
consec_inst,0.104,0.102,0.055,0.025,0.004,-0.011,-0.024,-0.003,-0.041,0.036,-0.008,1.0,-0.0,-0.013,0.083,0.234,0.289,0.016,-0.004,-0.013,0.002,0.443,0.402,0.31,0.473,0.012,-0.002,0.005,-0.009,0.058,-0.031,0.036,0.096,0.006,0.031,0.068,-0.003,0.088,0.045,0.011,0.07,0.015,-0.067,0.074,0.054,0.081,0.05,0.022,0.07
dayofmonth_freq_cos,0.04,0.045,0.045,0.04,0.032,0.019,0.004,0.004,0.005,0.035,0.006,-0.0,1.0,-0.013,0.097,0.112,0.105,-0.007,0.029,-0.005,0.009,0.006,-0.015,0.019,0.001,0.14,0.051,0.01,0.138,0.003,0.073,0.091,0.046,0.015,0.127,0.078,0.017,-0.024,0.004,-0.034,-0.026,-0.074,-0.076,0.021,-0.042,-0.029,0.003,-0.041,-0.031
dayofmonth_freq_sin,-0.014,-0.001,0.013,0.026,0.037,0.045,0.05,0.033,0.009,0.026,-0.039,-0.013,-0.013,1.0,-0.082,-0.006,-0.056,-0.016,-0.008,0.003,-0.029,0.003,-0.006,-0.009,0.009,-0.06,0.113,0.045,0.048,-0.015,-0.07,-0.093,-0.009,-0.056,-0.148,-0.073,0.035,0.022,0.012,0.016,0.003,-0.039,0.029,-0.081,0.003,0.026,0.012,0.017,0.002
dow,0.168,0.167,0.164,0.159,0.156,0.154,0.153,0.152,0.155,0.158,0.008,0.083,0.097,-0.082,1.0,0.021,0.026,-0.008,-0.006,-0.006,-0.007,0.071,0.119,0.124,0.109,0.383,0.362,0.426,0.359,0.045,-0.57,0.77,0.69,0.694,0.738,0.952,-0.017,-0.163,-0.232,-0.244,-0.212,0.608,-0.25,0.861,0.672,-0.21,-0.303,-0.324,-0.275
fast_d,0.297,0.306,0.269,0.212,0.145,0.077,0.01,0.052,-0.159,0.208,0.104,0.234,0.112,-0.006,0.021,1.0,0.894,0.098,0.278,0.198,0.246,0.196,0.443,0.345,0.387,0.108,-0.007,-0.086,0.065,0.087,0.157,-0.017,0.085,-0.124,0.043,-0.019,0.02,0.248,0.236,0.071,0.299,-0.15,0.015,0.02,-0.148,0.223,0.237,0.104,0.281
fast_k,0.253,0.259,0.157,0.076,0.005,-0.054,-0.106,-0.05,-0.197,0.092,0.167,0.289,0.105,-0.056,0.026,0.894,1.0,0.212,0.255,0.159,0.283,0.321,0.388,0.265,0.4,0.098,-0.05,-0.099,0.015,0.083,0.149,-0.006,0.067,-0.126,0.044,-0.01,0.02,0.252,0.145,0.007,0.224,-0.126,0.0,0.03,-0.113,0.233,0.159,0.045,0.22
fore,0.051,0.05,-0.045,-0.021,-0.019,-0.02,-0.021,-0.018,-0.033,-0.009,0.458,0.016,-0.007,-0.016,-0.008,0.098,0.212,1.0,0.356,0.25,0.495,0.112,-0.001,-0.005,-0.014,0.009,-0.008,-0.006,-0.012,-0.033,0.013,0.003,0.019,-0.013,0.008,-0.006,0.008,0.123,-0.008,-0.014,0.004,0.006,0.02,-0.013,-0.003,0.115,-0.008,-0.011,0.004
fore_mv10,0.103,0.109,0.087,0.073,0.058,0.044,0.028,0.034,-0.027,0.076,0.347,-0.004,0.029,-0.008,-0.006,0.278,0.255,0.356,1.0,0.716,0.738,0.021,-0.017,-0.016,-0.015,0.006,-0.004,-0.007,0.001,0.017,0.01,0.031,0.061,-0.006,0.048,0.005,0.025,0.088,0.056,-0.012,0.077,0.02,0.037,-0.025,-0.003,0.074,0.047,-0.014,0.064
fore_mv20,0.123,0.129,0.115,0.107,0.099,0.092,0.084,0.091,0.03,0.112,0.258,-0.013,-0.005,0.003,-0.006,0.198,0.159,0.25,0.716,1.0,0.518,0.009,-0.025,-0.028,-0.017,-0.005,-0.005,-0.008,-0.006,0.01,-0.018,0.039,0.082,0.018,0.046,0.013,0.003,0.08,0.071,0.042,0.077,0.044,0.054,-0.019,0.022,0.064,0.054,0.031,0.06
fore_mv5,0.087,0.091,0.054,0.028,0.003,-0.025,-0.052,-0.005,-0.044,0.031,0.431,0.002,0.009,-0.029,-0.007,0.246,0.283,0.495,0.738,0.518,1.0,0.037,-0.014,-0.009,0.002,0.013,-0.009,-0.007,-0.004,0.02,0.016,0.02,0.043,-0.014,0.032,-0.001,0.019,0.104,0.011,-0.023,0.065,0.012,0.032,-0.021,-0.007,0.092,0.007,-0.021,0.059
inst,0.074,0.07,-0.033,-0.048,-0.056,-0.059,-0.066,-0.052,-0.077,-0.023,0.021,0.443,0.006,0.003,0.071,0.196,0.321,0.112,0.021,0.009,0.037,1.0,0.401,0.276,0.547,0.021,0.0,-0.0,0.004,0.032,-0.016,0.031,0.067,-0.026,0.033,0.054,-0.013,0.088,-0.005,-0.023,0.001,0.012,-0.029,0.072,0.045,0.081,0.004,-0.011,0.005
inst_mv10,0.158,0.158,0.134,0.108,0.08,0.05,0.019,0.034,-0.069,0.109,-0.037,0.402,-0.015,-0.006,0.119,0.443,0.388,-0.001,-0.017,-0.025,-0.014,0.401,1.0,0.746,0.77,0.052,0.027,0.015,0.033,0.05,-0.021,0.039,0.141,0.001,0.043,0.087,-0.011,0.094,0.056,0.007,0.105,-0.003,-0.074,0.12,0.029,0.081,0.055,0.019,0.095
inst_mv20,0.204,0.209,0.196,0.178,0.159,0.139,0.119,0.136,0.025,0.182,-0.033,0.31,0.019,-0.009,0.124,0.345,0.265,-0.005,-0.016,-0.028,-0.009,0.276,0.746,1.0,0.546,0.095,0.07,0.059,0.083,0.017,-0.004,0.027,0.163,0.048,0.051,0.084,0.02,0.102,0.128,0.058,0.131,-0.016,-0.073,0.106,-0.007,0.085,0.114,0.058,0.113
inst_mv5,0.12,0.12,0.085,0.044,0.001,-0.045,-0.09,-0.031,-0.095,0.042,-0.056,0.473,0.001,0.009,0.109,0.387,0.4,-0.014,-0.015,-0.017,0.002,0.547,0.77,0.546,1.0,0.026,0.008,0.006,0.016,0.062,-0.026,0.044,0.118,-0.023,0.044,0.082,-0.028,0.085,0.02,-0.02,0.057,0.009,-0.057,0.108,0.046,0.074,0.028,-0.005,0.055
kospi,0.264,0.276,0.262,0.249,0.237,0.228,0.22,0.248,0.223,0.259,-0.02,0.012,0.14,-0.06,0.383,0.108,0.098,0.009,0.006,-0.005,0.013,0.021,0.052,0.095,0.026,1.0,0.902,0.827,0.936,-0.116,0.24,0.28,0.162,0.108,0.331,0.322,0.055,-0.015,-0.007,-0.008,0.007,0.031,-0.103,0.099,-0.195,-0.044,-0.046,-0.051,-0.026
kospi_mv10,0.251,0.259,0.266,0.27,0.273,0.274,0.273,0.28,0.263,0.275,-0.04,-0.002,0.051,0.113,0.362,-0.007,-0.05,-0.008,-0.004,-0.005,-0.009,0.0,0.027,0.07,0.008,0.902,1.0,0.952,0.968,-0.077,0.069,0.27,0.182,0.169,0.251,0.328,0.039,0.023,0.005,0.003,0.023,0.143,-0.109,0.013,-0.153,-0.002,-0.039,-0.046,-0.014
