,target_shift1,close,close_1shift,close_2shift,close_3shift,close_4shift,close_5shift,close_mv10,close_mv20,close_mv5,consec_fore,consec_inst,dayofmonth_freq_cos,dayofmonth_freq_sin,dow,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,msci_emerging,nasdaq,obv,obv_ema,semicon_index,snp500,sse_composite_index,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,usdtoaud,usdtocny,usdtojpy,usdtokrw,volume,volume_mv10,volume_mv20,volume_mv5
target_shift1,inf,48.45,24.077,15.982,12.11,9.761,8.277,12.535,6.484,21.721,0.238,0.588,0.714,-0.264,0.293,1.65,1.622,0.408,0.381,0.362,0.403,0.49,0.543,0.57,0.504,0.846,0.756,0.684,0.796,-0.019,0.027,0.269,1.07,0.702,0.325,0.263,0.126,1.443,1.477,1.422,1.464,0.128,-0.166,0.15,0.007,0.815,0.833,0.806,0.828
close,48.45,inf,48.45,24.077,15.965,12.11,9.75,17.0,7.676,40.125,0.243,0.583,0.776,-0.018,0.291,1.654,1.609,0.391,0.402,0.378,0.417,0.461,0.541,0.581,0.504,0.879,0.778,0.703,0.825,-0.01,0.019,0.275,1.136,0.736,0.322,0.268,0.166,1.455,1.5,1.44,1.504,0.132,-0.179,0.147,0.01,0.826,0.843,0.812,0.845
close_1shift,24.077,48.45,inf,48.45,24.077,15.965,11.932,24.103,9.172,75.462,-0.024,0.324,0.804,0.232,0.286,1.486,1.098,-0.381,0.321,0.336,0.251,-0.239,0.465,0.546,0.366,0.837,0.796,0.718,0.837,-0.005,-0.015,0.27,1.113,0.763,0.307,0.264,0.138,1.192,1.502,1.454,1.48,0.142,-0.178,0.142,0.014,0.618,0.833,0.816,0.819
close_2shift,15.982,24.077,48.45,inf,48.45,24.077,15.965,32.966,10.912,109.667,-0.036,0.152,0.741,0.448,0.277,1.225,0.571,-0.189,0.272,0.315,0.133,-0.361,0.382,0.499,0.196,0.796,0.806,0.73,0.844,-0.11,-0.046,0.265,1.083,0.791,0.292,0.263,0.128,1.018,1.48,1.466,1.398,0.16,-0.163,0.135,0.026,0.492,0.814,0.816,0.758
close_3shift,12.11,15.965,24.077,48.45,inf,46.143,24.051,42.0,12.913,81.75,-0.03,0.025,0.615,0.607,0.272,0.884,0.04,-0.174,0.22,0.293,0.015,-0.427,0.289,0.449,0.005,0.76,0.812,0.744,0.834,-0.177,-0.071,0.263,1.05,0.818,0.286,0.261,0.113,0.896,1.447,1.473,1.281,0.176,-0.154,0.126,0.037,0.403,0.781,0.812,0.67
close_4shift,9.761,12.11,15.965,24.077,46.143,inf,46.143,51.158,15.1,41.913,-0.03,-0.07,0.38,0.703,0.269,0.49,-0.443,-0.187,0.17,0.274,-0.126,-0.454,0.185,0.397,-0.21,0.728,0.815,0.748,0.81,-0.221,-0.088,0.263,1.026,0.845,0.282,0.261,0.129,0.818,1.396,1.476,1.127,0.19,-0.157,0.117,0.049,0.342,0.74,0.807,0.556
close_5shift,8.277,9.75,11.932,15.965,24.051,46.143,inf,51.158,17.34,22.238,-0.049,-0.153,0.08,0.769,0.267,0.067,-0.883,-0.196,0.11,0.252,-0.264,-0.504,0.072,0.344,-0.423,0.698,0.81,0.754,0.773,-0.256,-0.105,0.262,1.004,0.866,0.278,0.261,0.119,0.767,1.331,1.463,0.962,0.204,-0.168,0.112,0.06,0.299,0.693,0.795,0.438
close_mv10,12.535,17.0,24.103,32.966,42.0,51.158,51.158,inf,26.389,57.353,-0.036,-0.018,0.087,0.589,0.259,0.327,-0.397,-0.171,0.129,0.264,-0.025,-0.406,0.124,0.377,-0.147,0.738,0.795,0.746,0.78,-0.211,-0.066,0.252,1.029,0.841,0.272,0.25,0.115,0.977,1.327,1.455,1.178,0.181,-0.148,0.092,0.027,0.46,0.696,0.795,0.592
close_mv20,6.484,7.676,9.172,10.912,12.913,15.1,17.34,26.389,inf,12.403,-0.149,-0.244,0.122,0.273,0.263,-1.019,-1.47,-0.306,-0.107,0.089,-0.223,-0.575,-0.263,0.073,-0.45,0.613,0.698,0.716,0.657,-0.324,-0.113,0.253,0.955,0.897,0.234,0.258,0.11,0.702,1.029,1.244,0.863,0.23,-0.165,0.069,0.071,0.252,0.486,0.633,0.375
close_mv5,21.721,40.125,75.462,109.667,81.75,41.913,22.238,57.353,12.403,inf,0.03,0.214,0.729,0.448,0.271,1.182,0.672,-0.082,0.279,0.323,0.147,-0.176,0.38,0.5,0.186,0.807,0.802,0.728,0.832,-0.108,-0.032,0.261,1.075,0.787,0.291,0.255,0.136,1.127,1.471,1.473,1.37,0.151,-0.159,0.119,0.01,0.575,0.812,0.82,0.738
